method,implementation,provenance,capacity_label,base_parameter_count,output_parameter_count,trainable_parameter_count,logical_adapter_trainable_parameter_count,adapter_rank,final_output_rank,stored_bytes_float64,inference_multiplier,branch_count,mean_merge_compute_seconds,training_compute_seconds,estimated_peak_working_bytes,peak_memory_measurement_scope,mean_inference_latency_seconds,inference_latency_scope,validation_evaluation_count,recorded_method_failure_count,measured_inference_latency_multiplier
canonical_svd_factor_average,ordinary gauge-invariant baseline,internal exact formula,one fixed-rank adapter,72,54,0,54,3,3,432,1,1,0.00011823847307823598,0.0,2160,analytical factor and output arrays; excludes interpreter and BLAS workspace,1.0313328821212054e-05,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,0,0.982768486115681
compress_then_merge,ordinary baseline,internal exact formula,one fixed-rank adapter,72,54,0,54,3,3,432,1,1,8.791561704128981e-05,0.0,2160,analytical factor and output arrays; excludes interpreter and BLAS workspace,1.0945000685751438e-05,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,0,1.0429611952590596
cycle_aware_alignment,TwistedMerge,controlled implementation,one fixed-rank adapter,72,54,0,54,3,3,432,1,1,0.0008928088907850906,0.0,2160,analytical factor and output arrays; excludes interpreter and BLAS workspace,1.0949999559670687e-05,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,0,1.0434375434720438
dare,internal DARE-style,internal; not official,one full-model delta,72,72,0,54,3,6,576,1,1,3.109842946287244e-05,0.0,2304,analytical factor and output arrays; excludes interpreter and BLAS workspace,1.035874942317605e-05,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,0,0.9870966654072022
full_delta_svd,ordinary baseline,internal exact formula,one fixed-rank adapter,72,54,0,54,3,3,432,1,1,1.842914498411119e-05,0.0,2160,analytical factor and output arrays; excludes interpreter and BLAS workspace,1.0494159068912268e-05,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,0,1.0
global_synchronization,TwistedMerge,controlled implementation,one fixed-rank adapter,72,54,0,54,3,3,432,1,1,0.0005223645246587693,0.0,2160,analytical factor and output arrays; excludes interpreter and BLAS workspace,1.0854580905288458e-05,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,20,1.0343449945831198
naive_factor_average,ordinary baseline,internal exact formula,one fixed-rank adapter,72,54,0,54,3,3,432,1,1,1.5069864457473158e-05,0.0,2160,analytical factor and output arrays; excludes interpreter and BLAS workspace,9.951249230653048e-06,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,0,0.9482655223068299
oracle_alignment,oracle,controlled planted gauges,oracle fixed-rank adapter,72,54,0,54,3,3,432,1,1,0.00010741350124590098,0.0,2160,analytical factor and output arrays; excludes interpreter and BLAS workspace,1.0329170618206262e-05,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,0,0.9842780684357296
pairwise_reference_alignment,TwistedMerge,controlled implementation,one fixed-rank adapter,72,54,0,54,3,3,432,1,1,0.0004421542165800929,0.0,2160,analytical factor and output arrays; excludes interpreter and BLAS workspace,1.095999963581562e-05,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,20,1.0443904617649022
prediction_ensemble,upper-bound control,all four effective adapters,ensemble,72,216,0,54,3,-1,1728,4,4,0.00021428435866255313,0.0,3456,analytical factor and output arrays; excludes interpreter and BLAS workspace,0.0001305416692048311,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,0,12.439459736373323
separate_adapters,upper-bound control,uses planted domain identity,separate adapters with oracle routing,72,216,0,54,3,-1,1728,1,4,0.0,0.0,3456,analytical factor and output arrays; excludes interpreter and BLAS workspace,7.355500012636185e-05,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,0,7.009137144133828
task_arithmetic,internal Task Arithmetic-style,internal; not official,one full-model delta,72,72,0,54,3,6,576,1,1,7.318187272176146e-07,0.0,2304,analytical factor and output arrays; excludes interpreter and BLAS workspace,1.0166249703615904e-05,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,0,0.9687531546698432
ties,internal TIES-style,internal; not official,one full-model delta,72,72,0,54,3,6,576,1,1,5.2484904881566766e-05,0.0,2304,analytical factor and output arrays; excludes interpreter and BLAS workspace,1.028458122164011e-05,100 repeated end-to-end NumPy forwards on frozen 1024-example test features,0,0,0.9800290956239641
