method,task_accuracy,worst_task_score,loss,adapter_rank,stable_holonomy_dimension,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,saved_logits_path,saved_logits_sha256,label_permutation_regression_passed
raw_lora_factor_average,0.6275,0.5679611650485437,1.2772931133755827,3,0,96,96,1,1,0.0001434579025954008,1.0,reports/overnight_program/logits/lora_holonomy/synthetic_four_adapter_smoke.npz,a8a1509a366969794244715a4047c5c38dad5d2ad94b122ff40aa7cac1009129,True
delta_matrix_average,0.6975,0.6772486772486772,1.2050131778031423,3,0,96,96,1,1,8.416594937443733e-05,0.5866944089640946,reports/overnight_program/logits/lora_holonomy/synthetic_four_adapter_smoke.npz,a8a1509a366969794244715a4047c5c38dad5d2ad94b122ff40aa7cac1009129,True
pairwise_procrustes_alignment,0.6975,0.6772486772486772,1.2050131778031423,3,0,96,96,1,1,7.858290337026119e-05,0.5477767480812209,reports/overnight_program/logits/lora_holonomy/synthetic_four_adapter_smoke.npz,a8a1509a366969794244715a4047c5c38dad5d2ad94b122ff40aa7cac1009129,True
synchronized_adapter_basis,0.6975,0.6772486772486772,1.2050131778031423,3,0,96,96,1,1,7.779104635119438e-05,0.542256961406937,reports/overnight_program/logits/lora_holonomy/synthetic_four_adapter_smoke.npz,a8a1509a366969794244715a4047c5c38dad5d2ad94b122ff40aa7cac1009129,True
task_arithmetic,0.6975,0.6772486772486772,1.2050131778031423,3,0,96,96,1,1,0.00011262483894824982,0.7850723934385788,reports/overnight_program/logits/lora_holonomy/synthetic_four_adapter_smoke.npz,a8a1509a366969794244715a4047c5c38dad5d2ad94b122ff40aa7cac1009129,True
ties,0.66375,0.6031746031746031,1.19515664252101,3,0,96,96,1,1,8.474988862872124e-05,0.5907648661764157,reports/overnight_program/logits/lora_holonomy/synthetic_four_adapter_smoke.npz,a8a1509a366969794244715a4047c5c38dad5d2ad94b122ff40aa7cac1009129,True
dare,0.62875,0.5913461538461539,1.2415293029821726,3,0,96,96,1,1,7.983390241861343e-05,0.5564970696927843,reports/overnight_program/logits/lora_holonomy/synthetic_four_adapter_smoke.npz,a8a1509a366969794244715a4047c5c38dad5d2ad94b122ff40aa7cac1009129,True
low_rank_svd_merge,0.6975,0.6772486772486772,1.2050131778031423,3,0,96,96,1,1,7.833307608962059e-05,0.5460352805418187,reports/overnight_program/logits/lora_holonomy/synthetic_four_adapter_smoke.npz,a8a1509a366969794244715a4047c5c38dad5d2ad94b122ff40aa7cac1009129,True
twistedmerge_hodge_lr,0.6975,0.6772486772486772,1.2050131778031423,3,0,96,96,1,1,7.68748577684164e-05,0.5358704984362498,reports/overnight_program/logits/lora_holonomy/synthetic_four_adapter_smoke.npz,a8a1509a366969794244715a4047c5c38dad5d2ad94b122ff40aa7cac1009129,True
adaptive_router,1.0,1.0,1.028585483318289,3,0,96,384,4,4,7.758289575576782e-05,0.5408060089556551,reports/overnight_program/logits/lora_holonomy/synthetic_four_adapter_smoke.npz,a8a1509a366969794244715a4047c5c38dad5d2ad94b122ff40aa7cac1009129,True
ensemble_reference,0.6975,0.6772486772486772,1.2050131778031423,3,0,96,384,4,4,7.724994793534279e-05,0.5384851342293316,reports/overnight_program/logits/lora_holonomy/synthetic_four_adapter_smoke.npz,a8a1509a366969794244715a4047c5c38dad5d2ad94b122ff40aa7cac1009129,True
