"phase","prior_artifact","disposition","permitted_reuse","prohibited_use","distinct_new_work"
"shared","experiments/chart_followup_common.py","reuse_code_only","D4 element convention; multiplication; inversion; image actions; wrong-order controls","rerunning or pooling the failed CIFAR chart benchmark","eight independently fitted adapters over one frozen pretrained encoder"
"shared","experiments/cifar10_chart_retransport.py","reference_negative_and_adapt_utilities","dataset plumbing; D4 controls; metric and hashing patterns","reusing training schedule or presenting old results as new","one immutable eight-chart adapter corpus consumed by A-D"
"shared","experiments/pretrained_merge_smoke.py","adapt_code_only","cached frozen ResNet-18 loading and feature-extraction patterns","reusing the label-specialization smoke as holonomy evidence","D4-specific independent adapters and overlap activations"
"shared","experiments/compact_pretrained_vision.py","adapt_code_only","compact feature-cache and resource-accounting patterns","claiming its task family answers the applications","shared corpus integrity and artifact ledger"
"A","experiments/genuine_multiview_retransport.py","adapt_code_only","Procrustes transition estimation; graph and loop diagnostics","rerunning ModelNet10 or pooling its failed metrics","actual eight-chart D4 overlap transitions on frozen CIFAR features"
"A","experiments/realistic_multiview_twist.py","reference_negative_and_adapt_utilities","transition and missing-edge control patterns","treating proxy synchronization as the new application","measured noncommuting loops and held-out branch-pooling test"
"A","src/finite_group_cohomology.py","reuse_structural_code","finite-group tables and consistency checks","using controlled classes as empirical accuracy evidence","bind D4 structural diagnostics to new model transitions"
"A","src/nonabelian_holonomy.py","reuse_structural_code","holonomy products; conjugacy-safe summaries; commutators","claiming a practical benefit without held-out model metrics","nonabelian prediction on the shared corpus"
"A","src/nonabelian_invariant_pooling.py","reuse_structural_code","regular actions and invariant-pooling identities","using synthetic or prescribed accuracy values","capacity-matched pooling applied to saved actual logits"
"A","src/controlled_nonabelian_holonomy.py","quarantine_performance_path","group construction only after isolation from label-derived functions","logits_with_target_accuracy; target_accuracy_for_method; any prescribed metric","none from the invalid performance path"
"A","experiments/controlled_nonabelian_holonomy.py","quarantine_empirical_results","structural provenance only","all reported accuracy; selector; paired-delta; and performance claims","new logits must be generated by executed chart models"
"A","reports/csv/controlled_nonabelian_holonomy*.csv","invalid_empirical_evidence","provenance-only citation of the quarantine","any numeric performance input; comparison; or model selection","new hashed logits and paired rows from actual models"
"A","experiments/sequential_quotient_lift_benchmark.py","reuse_guard_and_structural_code","label-permutation guard; exact coset action; quotient checks","claiming its failed smoke is positive D4 application evidence","shared-corpus nonabelian loops and application metrics"
"A","reports/chart_followup/cifar/*","reference_negative","published negative boundary and D4 control coverage","confirmation rerun or relabeling four-CNN results","frozen-encoder eight-adapter corpus"
"A","reports/next_program/iclr/multiview_*","reference_negative","completed four-view transition benchmark boundary","new ModelNet training or cross-regime metric pooling","D4/CIFAR application on one shared corpus"
"A","reports/remaining_experiments/multiview_*","reference_negative","completed linear-expert multiview boundary","treating proxy retransport as natural D4 evidence","actual activation transition estimation"
"B","src/period_index_detector.py","reuse_structural_code","centrality; phase; root-margin diagnostics","reusing calibrated controlled thresholds without new sensitivity analysis","conservative natural certificate on saved A transitions"
"B","src/period_index_central.py","reuse_structural_code","central commutator and period/index relations","claiming a natural Brauer class from controlled matrices","bootstrap-stable abstain/negative/positive certificate"
"B","experiments/mine_finite_index_residuals.py","reference_negative_and_adapt_utilities","natural-candidate mining and threshold reporting patterns","claiming prior MNIST candidates transfer to CIFAR adapters","same-corpus D4 certificate with preregistered tolerances"
"B","reports/finite_index_residual_mining_report.md","reference_negative","boundary that no prior real candidate was certified","using positive controls as real-image support","new natural transition verdict"
"B","reports/primary_residual_peeling_smoke*_report.md","reference_negative","validation-gated peeling and negative boundary","rerunning the residual sweep","no peeling expansion; certificate only"
"B","reports/small_quotient_holonomy_report.md","reference_descriptive","quotient candidate taxonomy","claiming an implemented model-level lift","complete conservative certificate on the adapter corpus"
"C","src/projective_representation_index.py","reuse_structural_code","minimal projective representation/index calculations","another standalone matrix grid","predeclared predicted-index capacity test on real frozen features"
"C","experiments/period_index_central_benchmark.py","reference_control_and_adapt_utilities","exact clock/shift relations; rank divisibility checks","repeating the 138-row algebraic benchmark as new evidence","small controlled projective layer with held-out task metrics"
"C","reports/time_frequency_period_index_report.md","reference_control","known-operator natural-geometry boundary","calling orbit-invariant prototype accuracy a learned merge result","controlled layer on learned chart heads and saved logits"
"C","reports/time_frequency_heisenberg_projection_report.md","reference_control","detector and projection threshold patterns","repeating known-operator calibration","matched structural and task-performance capacity test"
"C","reports/period_index_lift_validation_report.md","reference_negative","existing real-lift validation boundary","claiming an uncertified natural residual was lifted","strict controlled-only wording"
"D","experiments/obstruction_predictor_target_diagnostics.py","adapt_code_only","grouped regression; bootstrap; target-boundary patterns","transferring reported predictor coefficients or raw-average claims","one logistic linter on new A-C outcomes"
"D","reports/obstruction_predictor_target_report.md","reference_mixed","alignment-conditioned positive and raw-average negative boundary","claiming generic harmful-merge prediction","held-out AUROC; AUPRC; calibration; and coverage-risk on shared-corpus groups"
"D","experiments/diagnostic_method_selector.py","adapt_code_only","selector and regret accounting patterns","reusing old selector performance","conservative abstention on frozen linter probabilities"
"all","reports/post_iclr_v2/*","reference_boundary","claim wording; manifest; leakage conventions","pooling selector-attribution; BN; soup; or rebasin evidence","application-specific artifacts kept in the new namespace"
"all","reports/final_claim_ledger.md","reuse_claim_boundary","current supported/negative/forbidden claim vocabulary","broad SOTA; full-model; or natural Brauer claims","bounded application conclusions only"
