run_id,stage_id,tier,command,execution_commit,source_sha256,started_at,runtime_seconds,exit_code,state,summary
526fdb85-8b91-480a-9f89-52f156218071,N2,near-term,python experiments/real_image_chart_inference.py,,,,,1,failed,compact vision loader initially used the repository-local data root instead of the configured external cache
526fdb85-8b91-480a-9f89-52f156218071,N2,near-term,python experiments/real_image_chart_inference.py,,,,,1,failed,ValueError: cannot select an axis to squeeze out which has size not equal to one
526fdb85-8b91-480a-9f89-52f156218071,N6,near-term,python experiments/real_lora_adapter_near_term.py,,,,,0,blocked,HfUriError: Invalid HF URI 'hf://datasets/imdb@e6281661ce1c48d982bc483cf8a173c1bbeb5d31/.huggingface.yaml'. Repository id must be 'namespace/name' got 'imdb'.
526fdb85-8b91-480a-9f89-52f156218071,N7,near-term,python experiments/pretrained_transformer_near_term.py,,,,,0,blocked,HfUriError: Invalid HF URI 'hf://datasets/imdb@e6281661ce1c48d982bc483cf8a173c1bbeb5d31/.huggingface.yaml'. Repository id must be 'namespace/name' got 'imdb'.
526fdb85-8b91-480a-9f89-52f156218071,N8,near-term,python experiments/quaternion_pose_near_term.py,,,,,0,blocked,HTTPError: HTTP Error 404: Not Found from the obsolete ModelNet10 download path on two resumable attempts
526fdb85-8b91-480a-9f89-52f156218071,X2,extended,python experiments/broader_language_extended.py,,,,,0,blocked,ValueError: second model repository did not provide a usable fast-tokenizer serialization
526fdb85-8b91-480a-9f89-52f156218071,X2,extended,python experiments/broader_language_extended.py,,,,,0,blocked,ValueError: Unrecognized model in prajjwal1/bert-tiny. Should have a model_type key in its config.json.
526fdb85-8b91-480a-9f89-52f156218071,X2,extended,python experiments/broader_language_extended.py,,,,,1,failed,KeyError: base_model.model.classifier.weight after a PEFT state dictionary was mutated during validation reuse
526fdb85-8b91-480a-9f89-52f156218071,X2,extended,python experiments/run_all_future_benchmarks.py --force-stage X2,,,,,0,blocked,RuntimeError: Cannot send a request as the client has been closed after SSL UNEXPECTED_EOF_WHILE_READING
526fdb85-8b91-480a-9f89-52f156218071,E0,emergency,python experiments/future_e0_provenance.py,1e9dee8c19f328e5953edd5ebe7a10bbe66a3ff4,9207964a7da58ff1cc851a9b7aeb57efd70a0b55ee6ee0b9385d7cfb77ef5337,2026-07-15T14:01:29+0800,37.977,0,clean-freeze,full tests exit=0; classified 5 invalid historical artifacts
526fdb85-8b91-480a-9f89-52f156218071,E6,emergency,python experiments/future_emergency_evidence_packet.py,1e9dee8c19f328e5953edd5ebe7a10bbe66a3ff4,5cffd119a8e0e722e71c1451599e5153102ca6252fd7ff276db9f288586cdfb5,2026-07-15T14:02:15+0800,0.583,0,completed,assembled public emergency evidence packet
526fdb85-8b91-480a-9f89-52f156218071,X11,extended,python experiments/extended_benchmark_suite.py --stage X11,1e9dee8c19f328e5953edd5ebe7a10bbe66a3ff4,d9d602e683ca94927269029e309d598117f291bdc7bf292c9a5464d6435c79b0,2026-07-15T14:02:16+0800,3.553,0,completed,reproducibility manifests generated; artifacts=152
526fdb85-8b91-480a-9f89-52f156218071,X12,extended,python experiments/extended_benchmark_suite.py --stage X12,1e9dee8c19f328e5953edd5ebe7a10bbe66a3ff4,d9d602e683ca94927269029e309d598117f291bdc7bf292c9a5464d6435c79b0,2026-07-15T14:02:19+0800,0.357,0,completed,extended evidence map generated; executed=12; blocked=0
526fdb85-8b91-480a-9f89-52f156218071,F,extended,python experiments/future_final_report.py,1e9dee8c19f328e5953edd5ebe7a10bbe66a3ff4,5a8d9ac0ce8f4ec0981bb96e4e56bb7b0d1f22e68cc40dfdb9ca826026cfcfb1,2026-07-15T14:02:20+0800,0.343,0,completed,global numerical report completed; strongest evidence level=2
526fdb85-8b91-480a-9f89-52f156218071,E0,emergency,python experiments/future_e0_provenance.py,cbca188e35b7cbacb2f6672e2dfff16daf9c0cd2,9207964a7da58ff1cc851a9b7aeb57efd70a0b55ee6ee0b9385d7cfb77ef5337,2026-07-15T14:02:53+0800,37.219,0,clean-freeze,full tests exit=0; classified 5 invalid historical artifacts
526fdb85-8b91-480a-9f89-52f156218071,X11,extended,python experiments/extended_benchmark_suite.py --stage X11,cbca188e35b7cbacb2f6672e2dfff16daf9c0cd2,6b6ca033750787e9115b14a0b9ee0ff2721295fdd2b33c1af24bcc10285f2201,2026-07-15T14:03:36+0800,2.775,0,completed,reproducibility manifests generated; artifacts=151
526fdb85-8b91-480a-9f89-52f156218071,X12,extended,python experiments/extended_benchmark_suite.py --stage X12,cbca188e35b7cbacb2f6672e2dfff16daf9c0cd2,6b6ca033750787e9115b14a0b9ee0ff2721295fdd2b33c1af24bcc10285f2201,2026-07-15T14:03:39+0800,0.328,0,completed,extended evidence map generated; executed=12; blocked=0
526fdb85-8b91-480a-9f89-52f156218071,F,extended,python experiments/future_final_report.py,cbca188e35b7cbacb2f6672e2dfff16daf9c0cd2,5a8d9ac0ce8f4ec0981bb96e4e56bb7b0d1f22e68cc40dfdb9ca826026cfcfb1,2026-07-15T14:03:40+0800,0.358,0,completed,global numerical report completed; strongest evidence level=2
526fdb85-8b91-480a-9f89-52f156218071,E0,emergency,python experiments/future_e0_provenance.py,0a6b2d06b02231bf74790dc4abb2a899ba07cd7e,9207964a7da58ff1cc851a9b7aeb57efd70a0b55ee6ee0b9385d7cfb77ef5337,2026-07-15T14:04:28+0800,35.05,0,clean-freeze,full tests exit=0; classified 5 invalid historical artifacts
526fdb85-8b91-480a-9f89-52f156218071,X11,extended,python experiments/extended_benchmark_suite.py --stage X11,0a6b2d06b02231bf74790dc4abb2a899ba07cd7e,70bbb7145a2ef02ff2938499a91ced845ff759441b0bcd6d5cfa534a46efdaa7,2026-07-15T14:05:27+0800,4.24,0,completed,reproducibility manifests generated; artifacts=149
526fdb85-8b91-480a-9f89-52f156218071,X12,extended,python experiments/extended_benchmark_suite.py --stage X12,0a6b2d06b02231bf74790dc4abb2a899ba07cd7e,70bbb7145a2ef02ff2938499a91ced845ff759441b0bcd6d5cfa534a46efdaa7,2026-07-15T14:05:32+0800,0.401,0,completed,extended evidence map generated; executed=12; blocked=0
526fdb85-8b91-480a-9f89-52f156218071,F,extended,python experiments/future_final_report.py,0a6b2d06b02231bf74790dc4abb2a899ba07cd7e,5a8d9ac0ce8f4ec0981bb96e4e56bb7b0d1f22e68cc40dfdb9ca826026cfcfb1,2026-07-15T14:05:32+0800,0.365,0,completed,global numerical report completed; strongest evidence level=2
