evidence_label,mode,path,sha256,bytes
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/dataset.csv,e0879d5e3bd02452365336950beb000d1bd288ff799d07d1925616c61925bdc6,271275
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/metrics.csv,dcb9c49e5ba8fb52bf13904fe37d2b8844a1eff668325b0ffbe779b4f8c3da85,3219
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/predictions.csv,27f28b1ec1c76a5a87b96f5521c08a5caf19e1740f7a941db9f5d0aff264ac7c,657865
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/fold_assignments.csv,bfebac6d82c674f83d59550894b31f2450bfc4e6b2d5ee802bf1befeb5313aec,22624
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/coefficients.csv,13e30c1d1c3306b159a64655e6745ea9e6203dfe12f8236d49a96ce99c28306e,182117
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/coverage_risk.csv,9b3642f49f041f58982e8821932239b0c637d4989946842373232a7a1265c299,4031
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/calibration.csv,e662a77aaffa4bd18d2972b8b6ef2de888cb1b75cea6e46fb7ad1c36d2ac0fac,5552
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/capacity_audit.csv,246ed9eefbdcd05b851e21fd061be4adb5499efe2c13096f7b0e2f459985da85,823
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/outcome_summary.csv,27f0a2d547621349e442748af40451379baeeeff404b22398bfd066c8d54ac96,279
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/paired_statistics.csv,0c1fcf00537e07a3e67095c60b7b6069fc80eb0185638ecaf7eefa15e676ff52,684
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/claims.csv,387f5e3fd4b53a07ce7f26fbef4bbe492c2259b6304a2ff77344040f54863bd8,512
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/tables/application_D_linter.tex,163ed4f4b8e4372db25e0dbd2f74d14a204ab65ce13b4c2811851f57c9c155bf,524
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/plots/linter_discrimination.pdf,3fb110a7507011f5a3fd39ba3af3418232d3e6dd463c4172f88cdb0187604743,19757
diagnostic_only,confirmatory,reports/holonomy_applications/application_D_mergeability_linter/plots/coverage_risk.pdf,a77e8fa1002b10427ed945a02d48a9c5d80d05cb911efb6988c04744233cf88f,16410
