setting_id,seed,n_models,width,candidate,family,tm_specific,output_type,val_accuracy,val_loss,test_accuracy,test_loss,selected_by,merge_seconds,generation_validation_evals,details,split_sha256,status
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,individual_0,individual,False,same_capacity_single_model,0.841,0.6507000956962292,0.8517,0.6250596748340875,,0.0,0,"{""model_index"": 0}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,individual_1,individual,False,same_capacity_single_model,0.849,0.6424855885199504,0.848,0.6294139542207122,,0.0,0,"{""model_index"": 1}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,individual_2,individual,False,same_capacity_single_model,0.839,0.6221877171061932,0.8617,0.5961661395098781,A6,0.0,0,"{""model_index"": 2}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,weight_average,ordinary_average,False,same_capacity_single_model,0.655,1.5012313663363457,0.6523,1.5221899897888302,,0.0011802499648183584,0,{},4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,greedy_soup,ordinary_soup,False,same_capacity_model_soup,0.849,0.6424855885199504,0.848,0.6294139542207122,A0;A1;A2;B0;A4,0.1420476669445634,6,"{""ingredient_count"": 1, ""selected_indices"": [1], ""selected_labels"": [""original:1""]}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,official_git_rebasin,official_synchronization,False,same_capacity_single_model,0.83,0.8012660119212233,0.8382,0.7911899149177131,,3.0676177497953176,0,"{""functional_preservation_max_abs_error"": 2.86102294921875e-06, ""implementation_kind"": ""adapter_assisted_official_core"", ""max_iter"": 100, ""prediction_disagreement"": 0.0, ""source_commit"": ""ef40098257ab97243930eba737d6dcb8edd5863e"", ""worker_metadata"": [{""implementation"": ""official_git_rebasin_weight_matching"", ""max_iter"": 100, ""permutation"": {""P_0"": [6, 4, 10, 5, 30, 19, 0, 16, 9, 20, 21, 2, 3, 15, 22, 31, 28, 1, 26, 14, 24, 27, 11, 8, 12, 25, 18, 13, 17, 29, 23, 7]}, ""seed"": 9301, ""source_file"": ""/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/official-baseline-sources/git-re-basin/src/weight_matching.py""}, {""implementation"": ""official_git_rebasin_weight_matching"", ""max_iter"": 100, ""permutation"": {""P_0"": [12, 15, 5, 20, 3, 0, 13, 4, 6, 8, 23, 17, 1, 18, 21, 22, 2, 26, 30, 24, 14, 28, 25, 31, 10, 19, 27, 9, 29, 7, 16, 11]}, ""seed"": 9302, ""source_file"": ""/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/official-baseline-sources/git-re-basin/src/weight_matching.py""}]}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,official_c2m3,official_synchronization,False,same_capacity_single_model,0.841,0.7810584680689499,0.8571,0.7629810702670832,,1.8722559588495642,0,"{""functional_preservation_max_abs_error"": 1.9073486328125e-06, ""implementation_kind"": ""adapter_assisted_official_core"", ""max_iter"": 30, ""objective_values"": [30.966825485229492, 47.04265594482422, 54.14569854736328, 57.01887130737305, 59.75568389892578, 64.19003295898438, 65.01334381103516, 66.73994445800781, 66.80156707763672, 67.5135726928711, 67.7997817993164, 67.79988861083984, 67.79989624023438, 67.79989624023438, 67.79989624023438, 67.79989624023438, 67.79989624023438, 67.79989624023438], ""permutations"": {""a"": {""P_0"": [5, 1, 11, 22, 16, 7, 6, 23, 31, 3, 13, 8, 0, 27, 14, 15, 25, 28, 29, 9, 20, 19, 2, 4, 21, 30, 26, 24, 12, 10, 18, 17]}, ""b"": {""P_0"": [19, 22, 2, 11, 28, 16, 25, 7, 8, 5, 15, 21, 31, 13, 9, 14, 24, 17, 18, 20, 6, 12, 4, 30, 27, 23, 10, 0, 3, 29, 26, 1]}, ""c"": {""P_0"": [0, 15, 17, 25, 7, 4, 13, 31, 8, 28, 18, 14, 12, 9, 21, 29, 19, 22, 5, 2, 20, 24, 11, 3, 10, 16, 27, 6, 1, 23, 30, 26]}}, ""prediction_disagreement"": 0.0, ""source_commit"": ""ea1eca76b19c5d57ed97b1ef396368189e864eee""}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,permutation_gauge_merge,permutation_gauge,True,same_capacity_single_model,0.834,0.8093702936507762,0.8449,0.7887540101816878,,0.08755258400924504,0,"{""reference"": 2, ""synchronization_disagreement"": 0.1701388888888889}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,positive_monomial_gauge_merge,positive_monomial_gauge,True,same_capacity_single_model,0.831,0.7795218938365579,0.843,0.7634497121749446,,0.0015035411342978477,0,"{""max_abs_log_scale"": 1.2214626082775513, ""mean_abs_log_scale"": 0.18194604305412945, ""scale_source"": ""reference_activation_norm""}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,permutation_gauge_soup,permutation_gauge_soup,True,same_capacity_model_soup,0.849,0.6424855892538326,0.848,0.6294139566399622,,0.1405417500063777,6,"{""ingredient_count"": 1, ""selected_indices"": [1], ""selected_labels"": [""permutation:1""]}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,monomial_gauge_soup,monomial_gauge_soup,True,same_capacity_model_soup,0.849,0.6424855866899015,0.848,0.6294139625358395,A3;A5,0.14923520805314183,6,"{""ingredient_count"": 1, ""selected_indices"": [1], ""selected_labels"": [""monomial:1""]}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,union_gauge_soup,union_gauge_soup,True,same_capacity_model_soup,0.849,0.6424855866899015,0.848,0.6294139625358395,,0.4257436250336468,18,"{""ingredient_count"": 1, ""selected_indices"": [7], ""selected_labels"": [""monomial:1""]}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,ordinary_weighted_soup_0,ordinary_soup,False,same_capacity_model_soup,0.726,1.4047653107643128,0.7153,1.423347242332995,,0.0004027499817311764,0,"{""frozen_weights"": [0.29980225085706924, 0.22877799557865336, 0.47141975356427734], ""generation_seed"": 323519}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,ordinary_weighted_soup_1,ordinary_soup,False,same_capacity_model_soup,0.74,1.1725445346534251,0.7278,1.1807587903484702,,0.0004027921240776777,0,"{""frozen_weights"": [0.5763195793484397, 0.05470477685410973, 0.36897564379745057], ""generation_seed"": 323519}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,ordinary_weighted_soup_2,ordinary_soup,False,same_capacity_model_soup,0.836,0.9953470687046647,0.8369,0.9926201440654695,,0.00040395790711045265,0,"{""frozen_weights"": [0.08936848682217213, 0.7523994521778324, 0.15823206099999537], ""generation_seed"": 323519}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,ordinary_weighted_soup_3,ordinary_soup,False,same_capacity_model_soup,0.835,0.7256100336660748,0.8486,0.7026188901830465,,0.00038370792753994465,0,"{""frozen_weights"": [0.9282357077728496, 0.05812343900153441, 0.013640853225615956], ""generation_seed"": 323519}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,ordinary_weighted_soup_4,ordinary_soup,False,same_capacity_model_soup,0.826,1.0570234885346144,0.8353,1.0593380221318454,,0.0003375830128788948,0,"{""frozen_weights"": [0.15896377682414875, 0.14439403619963115, 0.6966421869762202], ""generation_seed"": 323519}",4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313,evaluated
