claim_id,regime,claim,status,value,ci_low,ci_high,capacity,selection_budget,evidence,limitations
official_git_rebasin_exact_family,independent-initialization/rebasin,Adapter-assisted official Git Re-Basin ran on 20 exact MNIST MLP settings.,supported-narrow,20,,,same-capacity single model; 1x inference,not validation-selected,reports/csv/post_iclr_official_baseline_runs.csv; reports/csv/post_iclr_official_baseline_summary.csv,adapter-assisted official core; exact checkpoint family only
official_c2m3_exact_family,independent-initialization/rebasin,Adapter-assisted official C2M3 ran on 20 exact MNIST MLP settings.,supported-narrow,20,,,same-capacity single model; 1x inference,not validation-selected,reports/csv/post_iclr_official_baseline_runs.csv; reports/csv/post_iclr_official_baseline_summary.csv,adapter-assisted official core; exact checkpoint family only
official_ties_matches_internal,common-base task-vector,Adapter-assisted official TIES matched the internal TIES-style result on three exact settings.,supported-narrow,0.0,0.0,0.0,same-capacity single model; 1x inference,validation-tuned density and scale,reports/csv/post_iclr_official_baseline_runs.csv; reports/csv/post_iclr_official_baseline_summary.csv,three MNIST common-base settings
selector_over_official_git_rebasin,independent-initialization/rebasin,The existing validation-only TwistedMerge selector exceeds adapter-assisted official Git Re-Basin on the historical exact checkpoint family.,supported-narrow,0.014345,0.0074349999999999,0.022095,same-capacity single-model or soup output; 1x inference,enriched validation-selected pool,reports/csv/post_iclr_official_baseline_summary.csv,MNIST one-hidden-layer MLP; exact-setting bootstrap; fresh selector attribution is negative
selector_over_official_c2m3,independent-initialization/rebasin,The existing validation-only TwistedMerge selector exceeds adapter-assisted official C2M3 on the historical exact checkpoint family.,supported-narrow,0.008145,0.0030297499999999,0.013580125,same-capacity single-model or soup output; 1x inference,enriched validation-selected pool,reports/csv/post_iclr_official_baseline_summary.csv,MNIST one-hidden-layer MLP; exact-setting bootstrap; fresh selector attribution is negative
pure_gauge_over_official_c2m3,independent-initialization/rebasin,The pure TwistedMerge positive monomial gauge beats adapter-assisted official C2M3.,negative,-0.00873,-0.012320125,-0.004994,same-capacity single models; 1x inference,not applicable,reports/csv/post_iclr_official_baseline_summary.csv,observed direction favors official C2M3
selector_over_greedy_soup,greedy-soup validation descent,The existing improved selector beats ordinary greedy soup.,negative,-0.0024149999999999,-0.0041751249999999,-0.0008598749999999,same-capacity single-model soups; 1x inference,not budget-matched in the attribution sense,reports/csv/external_baseline_comparison_summary.csv,existing selector uses a larger candidate family
selector_choices_are_soup_dominated,greedy-soup validation descent,Most existing selector choices are soup-based candidates.,descriptive,0.95,,,same-capacity single-model soups; 1x inference,20 exact settings,reports/csv/external_baseline_comparison.csv,choice frequency does not establish causal attribution
fresh_a5_over_budget_matched_b0,greedy-soup validation descent,The full A5 TwistedMerge selector beats an ordinary soup selector with matched candidate count and selector validation evaluations on new checkpoint groups.,negative,-0.0018649999999999,-0.0025775625,-0.0012149999999999,same-capacity single models and materialized soups; 1x inference,exactly matched pool size and final selector evaluations; generation kernels timed but differ,reports/post_iclr_v2/selector_attribution/paired.csv,10 independent groups and 40 exact MNIST MLP settings; direction favors B0
fresh_tm_specific_conditional_gain,greedy-soup validation descent,TwistedMerge-specific A5 selections yield positive conditional gain over A0.,negative,-0.0017576923076922,,,same-capacity single models and materialized soups; 1x inference,A5 validation-selected pool,reports/post_iclr_v2/selector_attribution/selection_counts.csv; reports/post_iclr_v2/selector_attribution/claim_status_update.json,TM-specific candidate selected in 65 percent of settings but conditional mean gain is negative
fresh_diagnostic_only_gain,diagnostic prediction,Residual diagnostics reduce regret using the same A1 candidate pool.,negative,0.0,0.0,0.0,same-capacity single models and materialized soups; 1x inference,A4 frozen pilot-median rule; same pool as A1,reports/post_iclr_v2/selector_attribution/paired.csv,A4 and A1 tie on all 40 exact settings
controlled_rank_lift,controlled planted obstruction,The supplied-context q=2 branch lift resolves the controlled nontrivial mu2 obstruction and beats matched controls.,supported-narrow,0.25,0.25,0.25,extra-capacity branch lift; 2x branch representation,controlled supplied context; learned router separate,reports/csv/controlled_twisted_overlap_summary.csv,controlled construction only; not a natural Brauer-class result
raw_weight_average_prediction,diagnostic prediction,Residual diagnostics predict raw weight-average degradation.,negative,,,,diagnostic only,not applicable,reports/csv/obstruction_predictor_target_stats.csv,only selected alignment-conditioned targets currently have supported rows
biomedical_inferred_retransport,biomedical site/domain heterogeneity,Inferred spatial-output retransport passes its paired gate.,negative,False,,,four-expert path; not same-capacity,validation-only charts; synthetic domains,reports/spatial_output_program/biomedical/discovery/claims.csv,small Kvasir-SEG setup; no site metadata
biomedical_twistedmerge_specific_benefit,biomedical site/domain heterogeneity,The current spatial-output program shows a TwistedMerge-specific benefit.,negative,False,,,not on measured quality-cost Pareto frontier,validation-only; synthetic domains,reports/spatial_output_program/biomedical/discovery/claims.csv; reports/spatial_output_program/biomedical/cost/pareto.csv,does not support clinical or multicenter claims
biomedical_multidomain_benefit,biomedical site/domain heterogeneity,The current spatial-output program passes the multidomain benefit gate.,negative,False,,,multi-expert path,synthetic domains only,reports/spatial_output_program/multidomain/claims.csv,no real site or center metadata
biomedical_residual_correction,biomedical site/domain heterogeneity,The current spatial-output program certifies and activates a realistic residual correction.,negative,False,,,correction remained inactive,gated by D1 stability,reports/spatial_output_program/transitions/correction_claims.csv,D1 did not certify a stable residual
resnet18_cifar10_independent_merge,independent-initialization/rebasin,TwistedMerge is validated on independently trained CIFAR-10 ResNet-18 groups.,pending,,,,must be recorded per method,must be preregistered,reports/post_iclr_experiment_gap_audit.md,full ResNet-18 experiment absent
batchnorm_compatible_resnet18_permutation,exact gauge construction,Compatible channel permutations of torchvision-style ResNet-18 BasicBlocks preserve outputs in eval and train modes within preregistered float32 tolerances.,supported-narrow,2.562999725341797e-06,,,same architecture and parameter count; 1x inference,not applicable,reports/post_iclr_v2/batchnorm_gauge/exactness.csv; reports/post_iclr_v2/batchnorm_gauge/activations.csv,5 random parameter states x 3 epsilon values; maximum value is eval logit error; train maximum is 9.547919e-05; grouped convolutions and Bottlenecks excluded
batchnorm_frozen_eval_affine_scaling,exact gauge construction,Positive channel scaling before BatchNorm is eval-exact when frozen statistics receive the derived affine compensation.,supported-narrow,2.652406692504883e-06,,,same architecture and parameter count; 1x inference,not applicable,reports/post_iclr_v2/batchnorm_gauge/exactness.csv; reports/post_iclr_v2/batchnorm_gauge/derivation.md,5 random parameter states x 3 epsilon values; frozen eval only
batchnorm_running_stats_only_scaling,exact gauge construction,Scaling Conv outputs and BatchNorm running statistics alone is exact for nonzero epsilon.,negative,0.2029870748519897,,,same architecture and parameter count; 1x inference,not applicable,reports/post_iclr_v2/batchnorm_gauge/exactness.csv,maximum eval logit error across tested epsilons; epsilon breaks the naive scaling identity
batchnorm_train_channelwise_scaling,exact gauge construction,Static affine corrections make arbitrary channelwise positive scaling exact in BatchNorm train mode.,forbidden,,,,same architecture and parameter count; 1x inference,not applicable,reports/post_iclr_v2/batchnorm_gauge/exactness.csv; reports/post_iclr_v2/batchnorm_gauge/derivation.md,standard BatchNorm has one scalar epsilon and batch-dependent statistics
broad_sota,claim boundary,TwistedMerge is a broad state-of-the-art model-merging method.,forbidden,,,,mixed regimes and capacities,not comparable,reports/final_claim_ledger.md; reports/full_capacity_claim_audit.md,unsupported across modern architectures and strong budget-matched baselines
natural_brauer_classes,claim boundary,Natural neural residuals are Brauer or period-index classes.,forbidden,,,,not applicable,not applicable,reports/claims_audit.md; reports/final_claim_ledger.md,current real residuals remain noncentral or uncertified
