family,example_id,structure_group,commutator_or_defect_type,classification,centrality_score,phase_residual,detected_order_d,is_scalar_finite_index_candidate,is_noncentral_holonomy,possible_resolution,brauer_interpretation,cycle_type,source_setting_id,tmpp_classification,finite_index_candidate_score,notes
central_clock_shift,clock_shift_order_2,monomial phase / GL_h projective,scalar_root_of_unity,central_finite_index_projective,1.2246467991473532e-16,1.2246467991473532e-16,2.0,True,False,central_projective_lift,central_brauer_projective_candidate,scalar phase,,,2.4492935982947064e-16,Clock-shift relation has scalar root-of-unity commutator; this is the finite-index projective positive control.
central_clock_shift,clock_shift_order_3,monomial phase / GL_h projective,scalar_root_of_unity,central_finite_index_projective,2.583903469664147e-16,2.7755575615628914e-16,3.0,True,False,central_projective_lift,central_brauer_projective_candidate,scalar phase,,,5.359461031227038e-16,Clock-shift relation has scalar root-of-unity commutator; this is the finite-index projective positive control.
central_clock_shift,clock_shift_order_4,monomial phase / GL_h projective,scalar_root_of_unity,central_finite_index_projective,1.0605752387249068e-16,6.123233995736766e-17,4.0,True,False,central_projective_lift,central_brauer_projective_candidate,scalar phase,,,1.6728986382985834e-16,Clock-shift relation has scalar root-of-unity commutator; this is the finite-index projective positive control.
noncentral_S3_permutation,s3_transposition_commutator,S_3 permutation,noncentral,noncentral_permutation_holonomy,1.0,,,False,True,c2m3_synchronization,not_brauer_noncentral,"(3,)",,,1.0,"p=(12), q=(23); commutator is a 3-cycle and is not central in S_3. A regular branch lift exists with label noncentral_regular_branch_lift_extra_capacity, group size 6; it is extra capacity, not a scalar Brauer/projective lift."
noncentral_GL_matrix,gl2_shear_commutator,GL_2,noncentral,noncentral_matrix_holonomy,1.8027756377319943,0.0,1.0,False,True,unknown,not_brauer_noncentral,not_applicable,,,1.8027756377319943,Two simple shear matrices have non-scalar commutator; trace scalar is 1.5000.
real_mnist_residual_samples,mnist_mlp_N4_W16_S1402:1-2-3,S_16 permutation,noncentral_permutation_summary,noncentral_permutation_holonomy,0.899218410621135,0.0,1.0,False,True,c2m3_synchronization,not_brauer_noncentral,"stored summary: cycles=10, max_len=4, avg_len=1.6000, fixed=0.4375",mnist_mlp_N4_W16_S1402,random_noncentral,0.899218410621135,"Read from finite_index_residual_mining.csv; exact defect permutation was not stored, so cycle_type reports stored cycle statistics."
real_mnist_residual_samples,mnist_mlp_N4_W32_S1401:0-2-3,S_32 permutation,noncentral_permutation_summary,noncentral_permutation_holonomy,0.9137619698258402,0.0,1.0,False,True,c2m3_synchronization,not_brauer_noncentral,"stored summary: cycles=16, max_len=14, avg_len=2.0000, fixed=0.4062",mnist_mlp_N4_W32_S1401,random_noncentral,0.9137619698258402,"Read from finite_index_residual_mining.csv; exact defect permutation was not stored, so cycle_type reports stored cycle statistics."
real_mnist_residual_samples,mnist_mlp_N3_W32_S1402:0-1-2,S_32 permutation,noncentral_permutation_summary,noncentral_permutation_holonomy,0.9270248108869578,0.0,1.0,False,True,c2m3_synchronization,not_brauer_noncentral,"stored summary: cycles=17, max_len=12, avg_len=1.8824, fixed=0.3750",mnist_mlp_N3_W32_S1402,edge_outlier_or_noise,0.9270248108869578,"Read from finite_index_residual_mining.csv; exact defect permutation was not stored, so cycle_type reports stored cycle statistics."
real_mnist_residual_samples,mnist_mlp_N4_W32_S1403:0-2-3,S_32 permutation,noncentral_permutation_summary,noncentral_permutation_holonomy,0.9270248108869578,0.0,1.0,False,True,c2m3_synchronization,not_brauer_noncentral,"stored summary: cycles=15, max_len=14, avg_len=2.1333, fixed=0.3750",mnist_mlp_N4_W32_S1403,random_noncentral,0.9270248108869578,"Read from finite_index_residual_mining.csv; exact defect permutation was not stored, so cycle_type reports stored cycle statistics."
real_mnist_residual_samples,mnist_mlp_N4_W32_S1401:0-1-2,S_32 permutation,noncentral_permutation_summary,noncentral_permutation_holonomy,0.9270248108869578,0.0,1.0,False,True,c2m3_synchronization,not_brauer_noncentral,"stored summary: cycles=17, max_len=12, avg_len=1.8824, fixed=0.3750",mnist_mlp_N4_W32_S1401,random_noncentral,0.9270248108869578,"Read from finite_index_residual_mining.csv; exact defect permutation was not stored, so cycle_type reports stored cycle statistics."
