setting_id,source,level,n_models,width,seed,triangle,cycle_score,centrality_score,phase_residual,detected_order_d,rank_allowed,residual_type,selected_resolution,centrality_improvement_from_previous_level,supports_brauer_projective_interpretation,is_finite_index_candidate,final_decision,selected_level,notes
permutation_S3_noncentral,synthetic,permutation,3,3,-1,0-1-2,1.414213562373095,1.0,,,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,False,False,report_noncentral_holonomy,,permutation defect is noncentral; not a Brauer/projective scalar claim
permutation_S3_noncentral,synthetic,signed_permutation,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
permutation_S3_noncentral,synthetic,monomial_phase_or_scale,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
permutation_S3_noncentral,synthetic,block_orthogonal,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
permutation_S3_noncentral,synthetic,low_rank_GL,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
signed_mu2_central,synthetic,permutation,3,2,-1,0-1-2,0.0,0.0,0.0,1.0,,gauge_trivial,c2m3_synchronization,,False,False,c2m3_synchronization,permutation,permutation-level residual is already explained by C2M3-style synchronization
signed_mu2_central,synthetic,signed_permutation,3,2,-1,0-1-2,2.0,0.0,1.2246467991473532e-16,2.0,True,central_mu2_candidate,central_mu2_lift_diagnostic,0.0,True,True,c2m3_synchronization,permutation,signed extension reveals a central mu_2 residual
signed_mu2_central,synthetic,monomial_phase_or_scale,3,2,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,c2m3_synchronization,permutation,no transition maps or activation estimator available for this level
signed_mu2_central,synthetic,block_orthogonal,3,2,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,c2m3_synchronization,permutation,no transition maps or activation estimator available for this level
signed_mu2_central,synthetic,low_rank_GL,3,2,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,c2m3_synchronization,permutation,no transition maps or activation estimator available for this level
clock_shift_order_3_rank2,synthetic,permutation,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,rank_obstructed_no_lift,monomial_phase_or_scale,no transition maps or activation estimator available for this level
clock_shift_order_3_rank2,synthetic,signed_permutation,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,rank_obstructed_no_lift,monomial_phase_or_scale,no transition maps or activation estimator available for this level
clock_shift_order_3_rank2,synthetic,monomial_phase_or_scale,3,3,-1,0-1-2,1.7320508075688774,2.583903469664147e-16,2.7755575615628914e-16,3.0,False,finite_index_projective_obstructed,rank_obstructed_no_lift,,True,True,rank_obstructed_no_lift,monomial_phase_or_scale,
clock_shift_order_3_rank2,synthetic,block_orthogonal,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,rank_obstructed_no_lift,monomial_phase_or_scale,no transition maps or activation estimator available for this level
clock_shift_order_3_rank2,synthetic,low_rank_GL,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,rank_obstructed_no_lift,monomial_phase_or_scale,no transition maps or activation estimator available for this level
clock_shift_order_3_rank3,synthetic,permutation,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,finite_index_projective_lift,monomial_phase_or_scale,no transition maps or activation estimator available for this level
clock_shift_order_3_rank3,synthetic,signed_permutation,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,finite_index_projective_lift,monomial_phase_or_scale,no transition maps or activation estimator available for this level
clock_shift_order_3_rank3,synthetic,monomial_phase_or_scale,3,3,-1,0-1-2,1.7320508075688774,2.583903469664147e-16,2.7755575615628914e-16,3.0,True,finite_index_projective_lift,finite_index_projective_lift,,True,True,finite_index_projective_lift,monomial_phase_or_scale,
clock_shift_order_3_rank3,synthetic,block_orthogonal,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,finite_index_projective_lift,monomial_phase_or_scale,no transition maps or activation estimator available for this level
clock_shift_order_3_rank3,synthetic,low_rank_GL,3,3,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,finite_index_projective_lift,monomial_phase_or_scale,no transition maps or activation estimator available for this level
block_rotation_synthetic_only,synthetic,permutation,3,4,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,block_orthogonal_diagnostic,block_orthogonal,no transition maps or activation estimator available for this level
block_rotation_synthetic_only,synthetic,signed_permutation,3,4,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,block_orthogonal_diagnostic,block_orthogonal,no transition maps or activation estimator available for this level
block_rotation_synthetic_only,synthetic,monomial_phase_or_scale,3,4,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,block_orthogonal_diagnostic,block_orthogonal,no transition maps or activation estimator available for this level
block_rotation_synthetic_only,synthetic,block_orthogonal,3,4,-1,0-1-2,8.012457299054945e-17,8.012457299054945e-17,0.0,1.0,,block_gauge_reduces_residual,block_orthogonal_diagnostic,,False,False,block_orthogonal_diagnostic,block_orthogonal,synthetic block-orthogonal diagnostic only; no real-model merge improvement is claimed
block_rotation_synthetic_only,synthetic,low_rank_GL,3,4,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,block_orthogonal_diagnostic,block_orthogonal,no transition maps or activation estimator available for this level
random_GL_noncentral,synthetic,permutation,3,2,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
random_GL_noncentral,synthetic,signed_permutation,3,2,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
random_GL_noncentral,synthetic,monomial_phase_or_scale,3,2,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
random_GL_noncentral,synthetic,block_orthogonal,3,2,-1,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
random_GL_noncentral,synthetic,low_rank_GL,3,2,-1,0-1-2,1.8708286933869707,1.8027756377319943,0.0,1.0,,gl_noncentral_holonomy,report_noncentral_holonomy,,False,False,report_noncentral_holonomy,,
mnist_mlp_N3_W16_S1500,real_mnist,permutation,3,16,1500,0-1-2,1.0606601717798212,0.899218410621135,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,False,False,report_noncentral_holonomy,,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N3_W16_S1500,real_mnist,signed_permutation,3,16,1500,0-1-2,1.0606601717798212,0.899218410621135,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,False,False,report_noncentral_holonomy,,signed extension did not make the residual scalar/central
mnist_mlp_N3_W16_S1500,real_mnist,monomial_phase_or_scale,3,16,1500,0-1-2,0.8768026772848402,0.25299220572171127,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.6462262048994236,False,False,report_noncentral_holonomy,,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N3_W16_S1500,real_mnist,block_orthogonal,3,16,1500,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
mnist_mlp_N3_W16_S1500,real_mnist,low_rank_GL,3,16,1500,0-1-2,0.8176109598616863,0.6144468695583609,0.0,1.0,,gl_noncentral_holonomy,report_noncentral_holonomy,-0.36145466383664965,False,False,report_noncentral_holonomy,,
mnist_mlp_N3_W32_S1500,real_mnist,permutation,3,32,1500,0-1-2,1.224744871391589,0.9682458365518541,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,False,False,report_noncentral_holonomy,,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N3_W32_S1500,real_mnist,signed_permutation,3,32,1500,0-1-2,1.224744871391589,0.9682458365518541,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,False,False,report_noncentral_holonomy,,signed extension did not make the residual scalar/central
mnist_mlp_N3_W32_S1500,real_mnist,monomial_phase_or_scale,3,32,1500,0-1-2,0.9941984807299759,0.4724388134264748,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.49580702312537933,False,False,report_noncentral_holonomy,,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N3_W32_S1500,real_mnist,block_orthogonal,3,32,1500,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
mnist_mlp_N3_W32_S1500,real_mnist,low_rank_GL,3,32,1500,0-1-2,0.8509767796935781,0.5548142182868956,0.0,1.0,,gl_noncentral_holonomy,report_noncentral_holonomy,-0.08237540486042078,False,False,report_noncentral_holonomy,,
mnist_mlp_N4_W16_S1500,real_mnist,permutation,4,16,1500,0-1-2,1.0,0.8660254037844386,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,False,False,report_noncentral_holonomy,,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N4_W16_S1500,real_mnist,signed_permutation,4,16,1500,0-1-2,1.0,0.8660254037844386,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,False,False,report_noncentral_holonomy,,signed extension did not make the residual scalar/central
mnist_mlp_N4_W16_S1500,real_mnist,monomial_phase_or_scale,4,16,1500,0-1-2,0.9811256117938402,0.5179397268673959,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.34808567691704273,False,False,report_noncentral_holonomy,,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N4_W16_S1500,real_mnist,block_orthogonal,4,16,1500,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
mnist_mlp_N4_W16_S1500,real_mnist,low_rank_GL,4,16,1500,0-1-2,0.7889640890766482,0.5680594119013768,0.0,1.0,,gl_noncentral_holonomy,report_noncentral_holonomy,-0.0501196850339809,False,False,report_noncentral_holonomy,,
mnist_mlp_N4_W16_S1500,real_mnist,permutation,4,16,1500,0-1-3,1.224744871391589,0.9682458365518543,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,False,False,report_noncentral_holonomy,,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N4_W16_S1500,real_mnist,signed_permutation,4,16,1500,0-1-3,1.224744871391589,0.9682458365518543,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,False,False,report_noncentral_holonomy,,signed extension did not make the residual scalar/central
mnist_mlp_N4_W16_S1500,real_mnist,monomial_phase_or_scale,4,16,1500,0-1-3,1.0078766797680996,0.4109268706510521,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.5573189659008022,False,False,report_noncentral_holonomy,,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N4_W16_S1500,real_mnist,block_orthogonal,4,16,1500,0-1-3,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
mnist_mlp_N4_W16_S1500,real_mnist,low_rank_GL,4,16,1500,0-1-3,0.8264193303835816,0.6078806989457359,0.0,1.0,,gl_noncentral_holonomy,report_noncentral_holonomy,-0.19695382829468383,False,False,report_noncentral_holonomy,,
mnist_mlp_N4_W16_S1500,real_mnist,permutation,4,16,1500,0-2-3,1.3228756555322954,0.9921567416492215,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,False,False,gl_diagnostic_only,low_rank_GL,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N4_W16_S1500,real_mnist,signed_permutation,4,16,1500,0-2-3,1.3228756555322954,0.9921567416492215,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,False,False,gl_diagnostic_only,low_rank_GL,signed extension did not make the residual scalar/central
mnist_mlp_N4_W16_S1500,real_mnist,monomial_phase_or_scale,4,16,1500,0-2-3,1.4414233296368941,1.091108156219541,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,-0.09895141457031953,False,False,gl_diagnostic_only,low_rank_GL,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N4_W16_S1500,real_mnist,block_orthogonal,4,16,1500,0-2-3,,,,,,not_evaluated,not_evaluated,,False,False,gl_diagnostic_only,low_rank_GL,no transition maps or activation estimator available for this level
mnist_mlp_N4_W16_S1500,real_mnist,low_rank_GL,4,16,1500,0-2-3,0.7888702250605815,0.5619632150013697,0.0,1.0,,gl_reduces_residual,gl_diagnostic_only,0.5291449412181713,False,False,gl_diagnostic_only,low_rank_GL,GL alignment is diagnostic; no practical merge improvement is claimed
mnist_mlp_N4_W16_S1500,real_mnist,permutation,4,16,1500,1-2-3,1.3228756555322954,0.9921567416492215,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,False,False,report_noncentral_holonomy,,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N4_W16_S1500,real_mnist,signed_permutation,4,16,1500,1-2-3,1.3228756555322954,0.9921567416492215,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,False,False,report_noncentral_holonomy,,signed extension did not make the residual scalar/central
mnist_mlp_N4_W16_S1500,real_mnist,monomial_phase_or_scale,4,16,1500,1-2-3,1.1497921636351622,0.6504629859058305,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.341693755743391,False,False,report_noncentral_holonomy,,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N4_W16_S1500,real_mnist,block_orthogonal,4,16,1500,1-2-3,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
mnist_mlp_N4_W16_S1500,real_mnist,low_rank_GL,4,16,1500,1-2-3,1.1920774032114876,1.0505043662751345,0.0,1.0,,gl_noncentral_holonomy,report_noncentral_holonomy,-0.40004138036930403,False,False,report_noncentral_holonomy,,
mnist_mlp_N4_W32_S1500,real_mnist,permutation,4,32,1500,0-1-2,1.2747548783981961,0.9822646028438569,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,False,False,report_noncentral_holonomy,,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N4_W32_S1500,real_mnist,signed_permutation,4,32,1500,0-1-2,1.2747548783981961,0.9822646028438569,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,False,False,report_noncentral_holonomy,,signed extension did not make the residual scalar/central
mnist_mlp_N4_W32_S1500,real_mnist,monomial_phase_or_scale,4,32,1500,0-1-2,1.0083115312017816,0.4356510067261088,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.5466135961177481,False,False,report_noncentral_holonomy,,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N4_W32_S1500,real_mnist,block_orthogonal,4,32,1500,0-1-2,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
mnist_mlp_N4_W32_S1500,real_mnist,low_rank_GL,4,32,1500,0-1-2,0.8449183351218289,0.5291822207134919,0.0,1.0,,gl_noncentral_holonomy,report_noncentral_holonomy,-0.09353121398738307,False,False,report_noncentral_holonomy,,
mnist_mlp_N4_W32_S1500,real_mnist,permutation,4,32,1500,0-1-3,1.2747548783981961,0.9822646028438569,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,False,False,report_noncentral_holonomy,,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N4_W32_S1500,real_mnist,signed_permutation,4,32,1500,0-1-3,1.2747548783981961,0.9822646028438569,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,False,False,report_noncentral_holonomy,,signed extension did not make the residual scalar/central
mnist_mlp_N4_W32_S1500,real_mnist,monomial_phase_or_scale,4,32,1500,0-1-3,1.0368000055709297,0.4539333998435222,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.5283312030003346,False,False,report_noncentral_holonomy,,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N4_W32_S1500,real_mnist,block_orthogonal,4,32,1500,0-1-3,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
mnist_mlp_N4_W32_S1500,real_mnist,low_rank_GL,4,32,1500,0-1-3,0.8434691637225474,0.5285826903759954,0.0,1.0,,gl_noncentral_holonomy,report_noncentral_holonomy,-0.07464929053247316,False,False,report_noncentral_holonomy,,
mnist_mlp_N4_W32_S1500,real_mnist,permutation,4,32,1500,0-2-3,1.14564392373896,0.9390612000822949,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,False,False,report_noncentral_holonomy,,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N4_W32_S1500,real_mnist,signed_permutation,4,32,1500,0-2-3,1.14564392373896,0.9390612000822949,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,False,False,report_noncentral_holonomy,,signed extension did not make the residual scalar/central
mnist_mlp_N4_W32_S1500,real_mnist,monomial_phase_or_scale,4,32,1500,0-2-3,0.9621678277033962,0.4420064242781192,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.4970547758041757,False,False,report_noncentral_holonomy,,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N4_W32_S1500,real_mnist,block_orthogonal,4,32,1500,0-2-3,,,,,,not_evaluated,not_evaluated,,False,False,report_noncentral_holonomy,,no transition maps or activation estimator available for this level
