setting_id,source,level,n_models,width,seed,block_size,triangle,cycle_score,centrality_score,phase_residual,detected_order_d,rank_allowed,residual_type,selected_resolution,centrality_improvement_from_previous_level,centrality_improvement_from_permutation_to_block,supports_brauer_projective_interpretation,is_finite_index_candidate,final_decision,selected_level,mean_pairwise_block_residual,max_pairwise_block_residual,used_remainder_block,individual_accuracy_mean,individual_accuracy_max,merge_evaluated,merge_accuracy,merge_notes,notes
block_rotation_recovered,synthetic,permutation,3,4,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,block_orthogonal_diagnostic,block_orthogonal,2.6199041092547664e-16,3.8811981478795046e-16,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
block_rotation_recovered,synthetic,signed_permutation,3,4,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,block_orthogonal_diagnostic,block_orthogonal,2.6199041092547664e-16,3.8811981478795046e-16,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
block_rotation_recovered,synthetic,monomial_phase_or_scale,3,4,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,block_orthogonal_diagnostic,block_orthogonal,2.6199041092547664e-16,3.8811981478795046e-16,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
block_rotation_recovered,synthetic,block_orthogonal,3,4,-1,2,0-1-2,3.812511588685903e-16,2.6720167715449177e-16,0.0,1.0,,block_gauge_reduces_residual,block_orthogonal_diagnostic,,,False,False,block_orthogonal_diagnostic,block_orthogonal,2.6199041092547664e-16,3.8811981478795046e-16,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,block-orthogonal feature-space diagnostic only; no ReLU model merge improvement is claimed
block_rotation_recovered,synthetic,low_rank_GL,3,4,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,block_orthogonal_diagnostic,block_orthogonal,2.6199041092547664e-16,3.8811981478795046e-16,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
block_noncentral_not_brauer,synthetic,permutation,3,2,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,report_noncentral_holonomy,,0.0,0.0,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
block_noncentral_not_brauer,synthetic,signed_permutation,3,2,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,report_noncentral_holonomy,,0.0,0.0,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
block_noncentral_not_brauer,synthetic,monomial_phase_or_scale,3,2,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,report_noncentral_holonomy,,0.0,0.0,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
block_noncentral_not_brauer,synthetic,block_orthogonal,3,2,-1,2,0-1-2,0.778836684617301,0.7173560908995228,0.0,1.0,,block_noncentral_holonomy,report_noncentral_holonomy,,,False,False,report_noncentral_holonomy,,0.0,0.0,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,
block_noncentral_not_brauer,synthetic,low_rank_GL,3,2,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,report_noncentral_holonomy,,0.0,0.0,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
