method,method_group,intended_regime,requires_common_initialization,requires_same_architecture,uses_validation_data,capacity_matched,output_type,single_model_or_ensemble_branch,fair_comparison_against_current_prompt11_fixed_setting_data,fair_comparison_against_new_same_base_task_vector_benchmark,allowed_paper_claim,forbidden_paper_claim,audit_note
weight_averaging,generic_weight_space,same-base task-vector; same-dataset fine-tune; independent seed as weak/unprotected baseline,no,yes,no,yes,single averaged model,single model,yes as a deliberately weak unaligned baseline; not a protected alignment method,yes as a basic same-base baseline,"Weight averaging is included as a low-cost reference in both independent-seed and same-base regimes, but its interpretation depends on whether models share a basin.","Do not present unaligned weight averaging failure on independent random initializations as evidence that task-vector methods fail.","No validation selection; no extra inference cost; vulnerable to permutation/rebasin mismatch in independent-seed settings."
greedy_soup_model_soups,validation_selected_soup,same-base task-vector; same-dataset fine-tune; checkpoint soup over a common candidate pool,preferred but not logically required,yes,yes,yes,single averaged soup,single model,yes as an empirical validation-descent baseline over the current candidate checkpoints,yes as a canonical same-base fine-tuned checkpoint-soup baseline,"Greedy soup is a strong validation-selected descent baseline for whatever candidate pool is supplied.","Do not claim TwistedMerge beats Model Soups broadly unless the exact official/same-base soup setup and paired statistics support it.","Current trajectory logging directly supports validation-descent behavior for checkpointed activation settings, but not broad model-soup superiority claims."
slerp,same_base_interpolation,same-base task-vector; same-dataset fine-tune; interpolation between related checkpoints,yes in practice,yes,usually no unless mixing coefficient is selected,yes,single interpolated model,single model,no; independent random initializations make spherical interpolation a geometry diagnostic rather than a fair SLERP baseline,yes,"SLERP should be evaluated in a same-base or otherwise aligned checkpoint regime if cited as a baseline.","Do not judge SLERP from independent random-initialization model merging without a same-base task-vector setup.","Meaningful when endpoints already live in a comparable weight coordinate system; validation can tune interpolation angle only on validation data."
task_arithmetic,same_base_task_vector,same-base task-vector; multi-task fine-tuning from one pretrained/base model,yes,yes,optional for coefficients,yes,single task-vector-composed model,single model,no; current fixed-setting rows are independently trained seeds and not task vectors from a common base,yes,"Task Arithmetic is a fair baseline only after creating a common-base fine-tuned task-vector benchmark.","Do not claim Task Arithmetic underperforms or fails from the current independent-seed Prompt 11 fixed-setting data.","Requires a shared base checkpoint so deltas represent task vectors rather than unrelated coordinate systems."
ties_merging,same_base_task_vector,same-base task-vector; multi-task fine-tuning from one pretrained/base model,yes,yes,optional for density/merge hyperparameters,yes,single merged model after sign/elect/disjoint merge,single model,no; independent random initializations violate the shared task-vector assumption,yes,"TIES should be compared in a same-base task-vector benchmark with validation-only hyperparameter selection.","Do not use independent random-initialization MLP merging to claim TIES is weak or unfair.","TIES resolves sign conflicts among task vectors; that premise is absent without a common base."
dare,same_base_task_vector,same-base task-vector; dropout/rescale of fine-tuned task deltas from a common base,yes,yes,optional for drop rate/rescale choices,yes,single merged model or merged task-vector model,single model,no; current fixed-setting data lack common-base deltas,yes,"DARE should be evaluated on common-base fine-tuned task vectors, possibly paired with Task Arithmetic or TIES variants.","Do not judge DARE from independent random-initialization model merging without constructing same-base task vectors.","DARE operates on parameter deltas; independent random initializations make the delta semantics meaningless."
git_rebasin_pairwise,permutation_rebasin,independent seed; same architecture; same task/dataset; rebasin before averaging,no,yes,no,yes,single aligned average,single model,yes as a faithful Git-ReBasin-style internal baseline; not as official-code evidence,partly as an alignment diagnostic but less central if common base already aligns models,"Git-ReBasin-style pairwise alignment is fair for independent-seed rebasin comparisons in the current fixed-setting data.","Do not claim an official Git Re-Basin win unless official code is run on the exact benchmark.","Targets permutation symmetries created by independent training; may be unnecessary or secondary in same-base fine-tune regimes."
c2m3_synchronization,cycle_consistent_rebasin,independent seed; same architecture; same task/dataset; pairwise alignments with cycle consistency,no,yes,no,yes,single synchronized aligned average,single model,yes as the internal C2M3-style reference for current fixed-setting claims; not as official-code evidence,partly as a stress test but not the primary same-base task-vector baseline,"C2M3-style synchronization is fair for the current independent-seed obstruction/rebasin regime.","Do not claim TwistedMerge beats official C2M3 from faithful internal C2M3-style rows alone.","Most meaningful when independent training creates inconsistent pairwise permutation gauges."
monomial_gauge_alignment,exact_relu_gauge,independent seed ReLU networks with compatible positive scaling/permutation gauges,no,yes,optional for shrinkage/global scale selection,yes,single same-capacity aligned average,single model,yes as an internal exact ReLU-gauge diagnostic/baseline,partly but secondary unless the same-base benchmark uses ReLU architectures with scale gauges,"Monomial gauge alignment is a fair same-capacity internal diagnostic for ReLU-compatible independent-seed merging.","Do not present monomial gauges as Task Arithmetic/TIES/DARE competitors in the same-base task-vector sense.","Exact positive scaling is a symmetry before averaging; performance claims still require paired confidence intervals."
twisted_rank_lift_branch_candidates,controlled_obstruction_lift,controlled obstruction; central twist; optional real-model diagnostic only,no,yes,yes for branch/context selection or validation controls,no,branch/rank-lift model or branch ensemble,branch/extra-capacity model,limited; only as extra-capacity/control diagnostics,limited; only if branch capacity and task-vector baselines are separately matched,"Rank-lifted branch candidates are controlled-obstruction evidence and must be labeled extra-capacity unless distilled or parameter-matched.","Do not compare branch/rank-lift results directly to same-capacity SLERP/Task Arithmetic/TIES/DARE as if all were single-model baselines.","Use branch-capacity matched controls; do not promote real-model residuals to central-twist claims without diagnostics."
