method_id,method_or_diagnostic,family,output_type,parameter_multiplier,inference_multiplier,exact_relu_mlp_symmetry,exact_relu_cnn_channel_symmetry,exact_linear_hidden_block_symmetry,diagnostic_only,validation_selected,official_external_code,extra_capacity,period_index_lift,requires_residual_certification_gate,dataset_architecture_scope,paper_claim_allowed,paper_claim_forbidden,primary_evidence
weight_average,Weight average,core baselines,single merged model,1x,1x,no,no,no,no,no,no,no,no,no,MNIST/Fashion/CIFAR MLP or no-BatchNorm CNN settings,Capacity-matched baseline.,Do not call it obstruction-aware or symmetry-corrected.,reports/model_merging_verification_report.md; reports/cifar_final_channel_gauge_confirmatory_report.md
git_rebasin_pairwise_alignment,Git-ReBasin-style pairwise alignment,core baselines,single merged model after pairwise permutation alignment,1x,1x,yes,yes,no,no,no,no,no,no,no,Internal faithful-style MLP hidden permutations and CNN channel permutations,Internal pairwise-permutation baseline and diagnostic.,Do not claim official Git Re-Basin code execution or global cycle consistency.,reports/external_baseline_comparison.md; reports/official_external_baseline_attempt.md
c2m3_cycle_synchronization,C2M3-style cycle-consistent synchronization,core baselines,single merged model after synchronized permutations,1x,1x,yes,yes,no,no,no,no,no,no,no,Internal MLP hidden permutations and CNN channel permutations,Internal C2M3-style cycle-consistent baseline.,Do not claim official C2M3 code execution or broad CIFAR wins.,reports/external_baseline_comparison.md; reports/cifar_final_channel_gauge_confirmatory_report.md
greedy_soup,Greedy soup / Model Soups-style validation soup,core baselines,single model produced by validation-selected weight averaging,1x,1x,no,no,no,no,yes,no,no,no,no,MNIST/Fashion/CIFAR benchmark candidate pools,Capacity-matched greedy-soup baseline.,Do not claim official Model Soups code execution unless separately run.,reports/external_baseline_comparison.md; reports/cifar_final_channel_gauge_confirmatory_report.md
ensemble_upper_bound,Ensemble upper bound,core baselines,ensemble prediction,N x,N x,no,no,no,no,no,no,yes,no,no,All model-merging benchmark families,Upper bound with explicit extra capacity and inference cost.,Do not compare as capacity-matched single merged model.,reports/model_merging_verification_report.md; reports/cifar_final_channel_gauge_confirmatory_report.md
official_external_code_attempt,Official external baseline integration attempt,external baselines,integration status log,1x,1x,no,no,no,yes,no,yes,no,no,no,"Official Git Re-Basin, C2M3, Model Soups repositories",License and integration-boundary documentation.,Do not report official-code benchmark results from this attempt.,external_baselines/OFFICIAL_INTEGRATION.md; reports/official_external_baseline_attempt.md
official_nsd_smoke,Official Neural Sheaf Diffusion smoke run,external baselines,external GNN run plus post-hoc cycle diagnostic,1x,1x,no,no,no,yes,no,yes,no,no,no,Tiny WebKB Texas BundleSheaf in separate PyG environment,Optional official NSD integration feasibility and post-hoc cycle diagnostic.,Do not claim sheaf regularization generally improves GNNs.,external_baselines/NSD_INTEGRATION.md; reports/nsd_official_integration_report.md
monomial_raw_scale,Raw positive monomial scale,MLP monomial gauges,single merged model after exact positive ReLU gauge,1x,1x,yes,no,no,no,no,no,no,no,no,ReLU MLPs without BatchNorm,Exact positive-gauge candidate for ReLU MLP hidden units.,Do not claim robust greedy-soup improvement.,reports/validated_ladder_merge_report.md; reports/greedy_aware_monomial_report.md
monomial_shrinkage_scale,Shrinkage monomial scale,MLP monomial gauges,single merged model after validation-selected shrinkage gauge,1x,1x,yes,no,no,no,yes,no,no,no,no,ReLU MLPs without BatchNorm,Exact-gauge C2M3-style refinement where paired evidence supports it.,Do not claim greedy-soup win in current artifacts.,reports/improved_validated_ladder_merge_report.md; reports/greedy_aware_monomial_report.md
monomial_global_scale,Global monomial scale synchronization,MLP monomial gauges,single merged model after global positive-scale synchronization,1x,1x,yes,no,no,no,yes,no,no,no,no,ReLU MLPs without BatchNorm,Exact-gauge diagnostic/refinement for MLP permutation alignments.,Do not call the result a broad natural model-merging solution.,reports/improved_validated_ladder_merge_report.md
monomial_optimized_scale,Validation-optimized monomial scale,MLP monomial gauges,single merged model after validation grid selection,1x,1x,yes,no,no,no,yes,no,no,no,no,ReLU MLPs without BatchNorm,Validation-selected exact-gauge candidate.,Do not claim it beats greedy soup overall.,reports/improved_validated_ladder_merge_report.md; reports/greedy_aware_monomial_report.md
monomial_scaled_greedy_soup,Monomial-scaled greedy soup,MLP soups,single model soup over exact-gauged candidates,1x,1x,yes,no,no,no,yes,no,no,no,no,ReLU MLP candidate pools,Capacity-matched soup candidate pool.,Do not claim improvement over ordinary greedy soup in current artifacts.,reports/external_baseline_comparison.md; reports/greedy_aware_monomial_report.md
monomial_shrinkage_greedy_soup,Shrinkage monomial greedy soup,MLP soups,single model soup over shrinkage-scaled exact-gauge candidates,1x,1x,yes,no,no,no,yes,no,no,no,no,ReLU MLP candidate pools,Capacity-matched validation-selected shrinkage-gauge candidate soup.,Do not claim broad improvement over ordinary greedy soup.,reports/greedy_aware_monomial_report.md
monomial_global_greedy_soup,Global-scale monomial greedy soup,MLP soups,single model soup over globally synchronized exact-gauge candidates,1x,1x,yes,no,no,no,yes,no,no,no,no,ReLU MLP candidate pools,Capacity-matched validation-selected global-gauge candidate soup.,Do not claim overall greedy-soup win.,reports/greedy_aware_monomial_report.md
monomial_optimized_greedy_soup,Optimized monomial greedy soup,MLP soups,single model soup over validation-grid exact-gauge candidates,1x,1x,yes,no,no,no,yes,no,no,no,no,ReLU MLP candidate pools,Capacity-matched validation-selected optimized-gauge candidate soup.,Do not claim robust greedy-soup improvement in current artifacts.,reports/greedy_aware_monomial_report.md
union_candidate_soup,Union candidate soup,MLP soups,"single model soup over original, C2M3, and monomial candidates",1x,1x,yes,no,no,no,yes,no,no,no,no,MNIST/Fashion MLP candidate pools,Soup-compatible selector boundary experiment.,Do not claim broad improvement over greedy soup.,reports/greedy_aware_monomial_report.md; reports/external_baseline_comparison.md
improved_validated_selector,Improved validated ladder selector,selectors,validation-selected single-model candidate,1x,1x,yes,no,no,no,yes,no,no,no,no,MNIST/Fashion MLP exact-gauge candidate pools,Limited internal C2M3-style improvement where paired CI supports it.,"Do not claim external C2M3, greedy-soup, CIFAR, or broad architecture win.",reports/improved_validated_ladder_merge_report.md; reports/external_baseline_comparison.md
greedy_aware_selector,Greedy-aware monomial selector,selectors,validation-selected single-model candidate with greedy baseline awareness,1x,1x,yes,no,no,no,yes,no,no,no,no,MNIST MLP monomial candidate pools,Selector behavior and regret diagnostics.,Do not claim overall greedy-soup win.,reports/greedy_aware_monomial_report.md
greedy_safe_selector,Greedy-safe selector,selectors,validation-gated selector defaulting to greedy soup,1x,1x,no,no,no,no,yes,no,no,no,no,Fashion/CIFAR CNN and MLP candidate pools,No-harm selector boundary when it matches or avoids harmful departures from greedy soup.,Do not call exact gauge when it chooses ordinary greedy soup.,reports/fashion_mnist_greedy_safe_selector_report.md; reports/cifar_final_channel_gauge_confirmatory_report.md
cnn_channel_permutation,CNN channel permutation / C2M3 channel synchronization,CNN channel gauges,single merged no-BatchNorm CNN after channel permutation,1x,1x,no,yes,no,no,no,no,no,no,no,No-BatchNorm ReLU CNNs with conv and hidden channel gauges,Exact CNN channel-gauge baseline.,Do not claim BatchNorm gauge or general CNN rotation symmetry.,tests/test_cnn_channel_gauge.py; reports/fashion_mnist_cnn_channel_gauge_confirmatory_report.md
cnn_positive_channel_scale,CNN positive channel scale,CNN channel gauges,single merged no-BatchNorm CNN after exact positive channel scaling,1x,1x,no,yes,no,no,no,no,no,no,no,No-BatchNorm ReLU CNNs,Exact positive channel-gauge diagnostic.,Do not claim CIFAR improvement; final CIFAR run is negative/descriptive only.,tests/test_cnn_channel_gauge.py; reports/cifar_final_channel_gauge_confirmatory_report.md
cnn_shrinkage_channel_scale,CNN shrinkage channel scale,CNN channel gauges,single merged no-BatchNorm CNN after validation-selected shrinkage scale,1x,1x,no,yes,no,no,yes,no,no,no,no,Fashion-MNIST and final bounded CIFAR no-BatchNorm CNNs,Fashion-MNIST limited C2M3 improvement; CIFAR descriptive boundary.,Do not promote CIFAR result to main broad claim.,reports/fashion_mnist_cnn_channel_gauge_confirmatory_report.md; reports/cifar_final_channel_gauge_confirmatory_report.md
