source,group_name,noise_level,method,n,mean_validation_accuracy,mean_test_accuracy,mean_branch_count
controlled,C2,0.0,c2m3_cluster_branch_control,30,0.4539722222222222,0.45558333333333334,2.0
controlled,C2,0.0,one_shot_regular_lift,30,0.5754722222222223,0.5804166666666667,2.0
controlled,C2,0.0,parameter_matched_wide_model,30,0.47875,0.4802166666666666,1.0
controlled,C2,0.0,random_same_branch_count_control,30,0.428,0.4267333333333333,2.0
controlled,C2,0.0,reversed_quotient_order_control,30,0.3740555555555556,0.37625,2.0
controlled,C2,0.0,uniform_pool_sign_destroyed_control,30,0.3391388888888889,0.34096666666666664,1.0
controlled,C2,0.0,validation_branch_ensemble_control,30,0.4753888888888889,0.47633333333333333,2.0
controlled,C2,0.0,wrong_quotient_control,30,0.36436111111111114,0.3640666666666667,2.0
controlled,C2,0.0,wrong_quotient_order_control,30,0.3540555555555555,0.35291666666666666,2.0
controlled,C2,0.25,c2m3_cluster_branch_control,30,0.41641666666666666,0.41485,2.0
controlled,C2,0.25,one_shot_regular_lift,30,0.5428611111111111,0.5436666666666666,2.0
controlled,C2,0.25,parameter_matched_wide_model,30,0.4433611111111111,0.43943333333333334,1.0
controlled,C2,0.25,random_same_branch_count_control,30,0.39463888888888893,0.39395,2.0
controlled,C2,0.25,reversed_quotient_order_control,30,0.33616666666666667,0.33646666666666664,2.0
controlled,C2,0.25,uniform_pool_sign_destroyed_control,30,0.3042222222222222,0.30228333333333335,1.0
controlled,C2,0.25,validation_branch_ensemble_control,30,0.44047222222222226,0.4370833333333334,2.0
controlled,C2,0.25,wrong_quotient_control,30,0.3261944444444444,0.3268166666666667,2.0
controlled,C2,0.25,wrong_quotient_order_control,30,0.31858333333333333,0.31328333333333336,2.0
controlled,C2,0.5,c2m3_cluster_branch_control,30,0.3784166666666667,0.37875000000000003,2.0
controlled,C2,0.5,one_shot_regular_lift,30,0.5084166666666666,0.5066499999999999,2.0
controlled,C2,0.5,parameter_matched_wide_model,30,0.4045277777777778,0.4030166666666667,1.0
controlled,C2,0.5,random_same_branch_count_control,30,0.35638888888888887,0.3554333333333333,2.0
controlled,C2,0.5,reversed_quotient_order_control,30,0.30244444444444446,0.30483333333333335,2.0
controlled,C2,0.5,uniform_pool_sign_destroyed_control,30,0.2777777777777778,0.27176666666666666,1.0
controlled,C2,0.5,validation_branch_ensemble_control,30,0.39816666666666667,0.3994666666666667,2.0
controlled,C2,0.5,wrong_quotient_control,30,0.2914444444444444,0.29579999999999995,2.0
controlled,C2,0.5,wrong_quotient_order_control,30,0.2830833333333333,0.28165,2.0
controlled,C2xC2,0.0,c2m3_cluster_branch_control,30,0.4594166666666667,0.4609,4.0
controlled,C2xC2,0.0,one_shot_regular_lift,30,0.6990277777777778,0.6970833333333334,4.0
controlled,C2xC2,0.0,parameter_matched_wide_model,30,0.47886111111111107,0.4789333333333333,1.0
controlled,C2xC2,0.0,random_same_branch_count_control,30,0.43674999999999997,0.44053333333333333,4.0
controlled,C2xC2,0.0,reversed_quotient_order_control,30,0.3827777777777778,0.3779833333333333,4.0
controlled,C2xC2,0.0,uniform_pool_sign_destroyed_control,30,0.33875,0.3418,1.0
controlled,C2xC2,0.0,validation_branch_ensemble_control,30,0.4803888888888889,0.4826833333333333,4.0
controlled,C2xC2,0.0,wrong_quotient_control,30,0.37186111111111114,0.36938333333333334,4.0
controlled,C2xC2,0.0,wrong_quotient_order_control,30,0.3552222222222222,0.3621166666666667,4.0
controlled,C2xC2,0.25,c2m3_cluster_branch_control,30,0.42211111111111116,0.42128333333333334,4.0
controlled,C2xC2,0.25,one_shot_regular_lift,30,0.6591666666666666,0.66295,4.0
controlled,C2xC2,0.25,parameter_matched_wide_model,30,0.44205555555555553,0.4471666666666667,1.0
controlled,C2xC2,0.25,random_same_branch_count_control,30,0.39886111111111106,0.39863333333333334,4.0
controlled,C2xC2,0.25,reversed_quotient_order_control,30,0.3476944444444445,0.34223333333333333,4.0
controlled,C2xC2,0.25,uniform_pool_sign_destroyed_control,30,0.30627777777777776,0.3046,1.0
controlled,C2xC2,0.25,validation_branch_ensemble_control,30,0.44277777777777777,0.44698333333333334,4.0
controlled,C2xC2,0.25,wrong_quotient_control,30,0.33155555555555555,0.33121666666666666,4.0
controlled,C2xC2,0.25,wrong_quotient_order_control,30,0.3186111111111111,0.32616666666666666,4.0
controlled,C2xC2,0.5,c2m3_cluster_branch_control,30,0.3824166666666667,0.3853666666666667,4.0
controlled,C2xC2,0.5,one_shot_regular_lift,30,0.6253611111111111,0.6232666666666666,4.0
controlled,C2xC2,0.5,parameter_matched_wide_model,30,0.4023055555555555,0.40663333333333335,1.0
controlled,C2xC2,0.5,random_same_branch_count_control,30,0.3586111111111111,0.3628,4.0
controlled,C2xC2,0.5,reversed_quotient_order_control,30,0.3075277777777778,0.30733333333333335,4.0
controlled,C2xC2,0.5,uniform_pool_sign_destroyed_control,30,0.27025,0.2700166666666667,1.0
controlled,C2xC2,0.5,validation_branch_ensemble_control,30,0.4063611111111111,0.40658333333333335,4.0
controlled,C2xC2,0.5,wrong_quotient_control,30,0.29916666666666664,0.30124999999999996,4.0
controlled,C2xC2,0.5,wrong_quotient_order_control,30,0.29266666666666663,0.2905,4.0
controlled,C4,0.0,c2m3_cluster_branch_control,30,0.46144444444444443,0.46268333333333334,4.0
controlled,C4,0.0,one_shot_regular_lift,30,0.6924722222222222,0.6947833333333333,4.0
controlled,C4,0.0,parameter_matched_wide_model,30,0.47844444444444445,0.4784333333333333,1.0
controlled,C4,0.0,random_same_branch_count_control,30,0.4380833333333333,0.43481666666666663,4.0
controlled,C4,0.0,reversed_quotient_order_control,30,0.37830555555555556,0.3813333333333333,4.0
controlled,C4,0.0,uniform_pool_sign_destroyed_control,30,0.3396666666666667,0.33823333333333333,1.0
controlled,C4,0.0,validation_branch_ensemble_control,30,0.4821666666666667,0.4837166666666667,4.0
controlled,C4,0.0,wrong_quotient_control,30,0.3696388888888889,0.3700833333333333,4.0
controlled,C4,0.0,wrong_quotient_order_control,30,0.36225,0.3603833333333333,4.0
controlled,C4,0.25,c2m3_cluster_branch_control,30,0.42258333333333337,0.4223,4.0
controlled,C4,0.25,one_shot_regular_lift,30,0.6646944444444445,0.6597166666666666,4.0
controlled,C4,0.25,parameter_matched_wide_model,30,0.4462777777777778,0.44120000000000004,1.0
controlled,C4,0.25,random_same_branch_count_control,30,0.4018055555555556,0.4003166666666667,4.0
controlled,C4,0.25,reversed_quotient_order_control,30,0.34125,0.34405,4.0
controlled,C4,0.25,uniform_pool_sign_destroyed_control,30,0.3046666666666667,0.30475,1.0
controlled,C4,0.25,validation_branch_ensemble_control,30,0.4426388888888889,0.4418166666666667,4.0
controlled,C4,0.25,wrong_quotient_control,30,0.33519444444444446,0.3352333333333333,4.0
controlled,C4,0.25,wrong_quotient_order_control,30,0.3231111111111111,0.3239666666666666,4.0
controlled,C4,0.5,c2m3_cluster_branch_control,30,0.37958333333333333,0.38341666666666663,4.0
controlled,C4,0.5,one_shot_regular_lift,30,0.6287222222222223,0.6252333333333334,4.0
controlled,C4,0.5,parameter_matched_wide_model,30,0.4088333333333333,0.40835000000000005,1.0
controlled,C4,0.5,random_same_branch_count_control,30,0.35969444444444443,0.36505,4.0
controlled,C4,0.5,reversed_quotient_order_control,30,0.3083888888888889,0.3085333333333333,4.0
controlled,C4,0.5,uniform_pool_sign_destroyed_control,30,0.27375,0.2761166666666667,1.0
controlled,C4,0.5,validation_branch_ensemble_control,30,0.40719444444444447,0.4015666666666667,4.0
controlled,C4,0.5,wrong_quotient_control,30,0.29719444444444443,0.30028333333333335,4.0
controlled,C4,0.5,wrong_quotient_order_control,30,0.28894444444444445,0.2914333333333333,4.0
controlled,D4,0.0,c2m3_cluster_branch_control,30,0.4668611111111111,0.46795000000000003,8.0
controlled,D4,0.0,one_shot_regular_lift,30,0.7955555555555556,0.7910333333333334,8.0
controlled,D4,0.0,parameter_matched_wide_model,30,0.4821666666666667,0.48068333333333335,1.0
controlled,D4,0.0,random_same_branch_count_control,30,0.44669444444444445,0.44453333333333334,8.0
controlled,D4,0.0,reversed_quotient_order_control,30,0.3896111111111111,0.38865,8.0
controlled,D4,0.0,uniform_pool_sign_destroyed_control,30,0.3381388888888889,0.3389833333333333,1.0
controlled,D4,0.0,validation_branch_ensemble_control,30,0.48783333333333334,0.4907333333333333,8.0
controlled,D4,0.0,wrong_quotient_control,30,0.37830555555555556,0.37933333333333336,8.0
controlled,D4,0.0,wrong_quotient_order_control,30,0.36572222222222217,0.3642333333333333,8.0
controlled,D4,0.25,c2m3_cluster_branch_control,30,0.4279444444444444,0.42951666666666666,8.0
controlled,D4,0.25,one_shot_regular_lift,30,0.76875,0.7627333333333333,8.0
controlled,D4,0.25,parameter_matched_wide_model,30,0.4408888888888889,0.44545,1.0
controlled,D4,0.25,random_same_branch_count_control,30,0.4046944444444444,0.40973333333333334,8.0
controlled,D4,0.25,reversed_quotient_order_control,30,0.34924999999999995,0.3486166666666667,8.0
