dataset,run_id,peel_path_id,residual_order_candidate,residual_prime,group_closure_status,group_order_if_exact,group_exponent_if_exact,quotient_fit_status,quotient_relation_violation_rate,quotient_nontrivial_rate,quotient_entropy,quotient_confidence,certification_status,certification_method,claim_boundary
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_000,5,5.0,truncated_max_group_order,,,heuristic_primary_residue_completion,0.0,0.5,0.43067655807339306,1.0,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,"certifies only a cyclic C_p quotient, not that the full residual group is cyclic"
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_001,7,7.0,truncated_max_group_order,,,heuristic_primary_residue_completion,0.0,0.25,0.28898309867585964,1.0,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,"certifies only a cyclic C_p quotient, not that the full residual group is cyclic"
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_002,19,19.0,truncated_max_group_order,,,heuristic_primary_residue_completion,0.0,0.25,0.19098210171704874,1.0,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,"certifies only a cyclic C_p quotient, not that the full residual group is cyclic"
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_003,43,43.0,truncated_max_group_order,,,heuristic_primary_residue_completion,0.0,0.25,0.1495094989156444,1.0,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,"certifies only a cyclic C_p quotient, not that the full residual group is cyclic"
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_004,817,,truncated_max_group_order,,,not_attempted_nonprime_residual,,,,,not_prime_residual,residual_order_candidate_composite,composite residual diagnostic only
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_005,6176520,,truncated_max_group_order,,,not_attempted_nonprime_residual,,,,,not_prime_residual,residual_order_candidate_composite,composite residual diagnostic only
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_000,5,5.0,truncated_max_group_order,,,heuristic_primary_residue_completion,0.0,0.25,0.3493984702822971,1.0,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,"certifies only a cyclic C_p quotient, not that the full residual group is cyclic"
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_001,7,7.0,truncated_max_group_order,,,heuristic_primary_residue_completion,0.0,0.5,0.3562071871080222,1.0,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,"certifies only a cyclic C_p quotient, not that the full residual group is cyclic"
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_002,17,17.0,truncated_max_group_order,,,heuristic_primary_residue_completion,0.0,0.25,0.19847963295758447,1.0,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,"certifies only a cyclic C_p quotient, not that the full residual group is cyclic"
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_003,19,19.0,truncated_max_group_order,,,heuristic_primary_residue_completion,0.0,0.25,0.19098210171704874,1.0,certified_cyclic_Cp_quotient,cyclic_quotient_Cp_fit,"certifies only a cyclic C_p quotient, not that the full residual group is cyclic"
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_004,323,,truncated_max_group_order,,,not_attempted_nonprime_residual,,,,,not_prime_residual,residual_order_candidate_composite,composite residual diagnostic only
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,path_005,813960,,truncated_max_group_order,,,not_attempted_nonprime_residual,,,,,not_prime_residual,residual_order_candidate_composite,composite residual diagnostic only
